figure_id,lecture,markdown_path,figure_path,kind,script_path,data_paths,citation_keys,notes
fig:half-space-cooling,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/half_space_cooling.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_half_space_cooling.py,,Turcotte2002,Half-space cooling profiles for ages 1-200 Myr.
fig:q-vs-age,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/q_vs_seafloor_age.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_q_vs_seafloor_age.py,,SteinStein1992,Plate-cooling asymptote ~48 mW/m^2.
fig:earth-heat-budget,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/earth_heat_budget.avif,self_made_data,scripts/figures/L03_heat_energy/fig_earth_heat_budget.py,scripts/figures/L03_heat_energy/data/earth_heat_budget.json,DaviesDavies2010,Static review numerics.
fig:marginal-stability,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/marginal_stability.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_marginal_stability.py,,Chandrasekhar1961,Free-slip curve scaled to rigid-rigid critical values.
fig:nu-ra-scaling,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/nu_ra_scaling.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_nu_ra_scaling.py,,Turcotte2002,Nu = Ra^(1/3) above Ra_c.
fig:convection-cells,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/rayleigh_benard_schematic.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_convection_cells.py,,,Pure schematic.
fig:tidal-flexing,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/tidal_flexing.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_tidal_flexing.py,,,Pure schematic.
fig:stokes-settling,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/stokes_settling.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_stokes_settling.py,,Rubie2015,Equation-based; Delta_rho=4000 g=5 mu=0.1.
fig:outgassing-speciation,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/outgassing_speciation_fO2.avif,self_made_data,scripts/figures/L04_differentiation_magnetospheres/fig_outgassing_speciation_fO2.py,,Krijt2023;Nicholls2024,CALLIOPE equilibrium outgassing sweep over Delta-IW; needs fwl-calliope to rerun.
fig:hf-w-schematic,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/hf_w_schematic.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_hf_w_schematic.py,,Kleine2009,Two-panel Hf-W chronometry explainer with two-stage model ages.
fig:lunar-magma-ocean,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/lunar_magma_ocean_cutout.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_lunar_magma_ocean_cutout.py,,ElkinsTanton2012,Labelled quarter-wedge cutout after Elkins-Tanton 2012.
fig:moon-nearside,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/moon_nearside_annotated.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_moon_nearside_annotated.py,,,Annotated LROC WAC mosaic (NASA PIA14011); script downloads the source image.
fig:volatile-delivery,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/volatile_delivery_schematic.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_volatile_delivery_schematic.py,,Alexander2019a;Lichtenberg2021;Grewal2024,Two-panel classical vs revised volatile delivery schematic.
fig:geomagnetic-polarity,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/geomagnetic_polarity_timescale.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_geomagnetic_polarity.py,,Gradstein2020,Schematic; chron lengths drawn with seed=42.
fig:dry-moist-adiabat,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/dry_moist_adiabat.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_dry_moist_adiabat.py,,,Dry/moist adiabats + USSA76 piecewise definition (no measurement data).
fig:tau-one,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/tau_one_schematic.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_tau_one_schematic.py,,,Beer-Lambert + photosphere schematic.
fig:greenhouse-effect,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/greenhouse_one_layer.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_greenhouse_one_layer.py,,Pierrehumbert2010,One-layer grey greenhouse schematic.
fig:mb-jeans,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/maxwell_boltzmann_jeans.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_maxwell_boltzmann_jeans.py,,,Maxwell-Boltzmann at T_exo for Earth (1000K) and Mars (270K) atomic H.
fig:psat-curves,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/psat_curves.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_psat_curves.py,,Catling2017;Pierrehumbert2010,Clausius-Clapeyron for H2O/H2SO4/NH3/CH4/CO2.
fig:kohler-curves,L06_atmospheres_2,slides/lecture06/lecture06.tex,slides/lecture06/figures/kohler_curves.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_kohler_curves.py,,Catling2017;Pruppacher1997,Kelvin + Raoult terms; m_s 1e-16 to 1e-14 g (literature canonical).
fig:water-phase-diagram,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/water_phase_diagram.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_water_phase_diagram.py,,,Integrated CC for liquid-vapour and sublimation; anomalous solid-liquid line.
fig:coriolis,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/coriolis_effect.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_coriolis_effect.py,,,Inertial vs rotating-frame disk schematic.
fig:snowball-bistability,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/snowball_bistability.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_snowball_bistability.py,,,sigma T^4 vs (1-alpha(T))S/4 with tanh albedo step.
fig:neukum-chronology,L07_surfaces,book/07_surfaces/surfaces.md,book/07_surfaces/figures/neukum_chronology.avif,self_made_plot,scripts/figures/L07_surfaces/fig_neukum_chronology.py,,Neukum2001;Robbins2014,Chronology function from published coefficients; shaded intervals are the sample-calibration gaps.
fig:olympus-comparison,L07_surfaces,book/07_surfaces/surfaces.md,book/07_surfaces/figures/olympus_mons_size_comparison.avif,self_made_plot,scripts/figures/L07_surfaces/fig_olympus_mons_size_comparison.py,,,Heights on one linear scale from each edifice's own base; drawn widths are schematic and compressed.
fig:moi-factor,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/moi_factor.avif,self_made_data,scripts/figures/L08_interiors/fig_moi_factor.py,scripts/figures/L08_interiors/data/moi_factors.json,Williams2014;Stahler2021;Margot2007;Dziewonski1981,Compiled C/MR^2 for 9 bodies.
fig:birchs-law,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/birchs_law.avif,self_made_data,scripts/figures/L08_interiors/fig_birchs_law.py,scripts/figures/L08_interiors/data/birch_minerals.json,Birch1952,Birch trend + mineral compilation.
fig:adams-williamson,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/adams_williamson.avif,self_made_data,scripts/figures/L08_interiors/fig_adams_williamson.py,scripts/figures/L08_interiors/_prem.py,Dziewonski1981,AW integration vs PREM through CMB.
fig:convection-regimes,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/convection_regimes.avif,self_made_schematic,scripts/figures/L08_interiors/fig_convection_regimes.py,,Schubert2001,Whole vs layered mantle convection.
fig:mantle-phase-diagram,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/mantle_phase_diagram.avif,self_made_schematic,scripts/figures/L08_interiors/fig_mantle_phase_diagram.py,,Turcotte2002;Murakami2004,Olivine-system phase diagram with geotherm.
fig:tidal-resonance,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/tidal_resonance.avif,self_made_schematic,scripts/figures/L08_interiors/fig_tidal_resonance.py,,Hussmann2006,Two-panel Laplace 4:2:1 schematic.
fig:prem-shadow-zones,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/prem_shadow_zones.avif,self_made_data,scripts/figures/L08_interiors/fig_prem_shadow_zones.py,scripts/figures/L08_interiors/_prem.py,Dziewonski1981,P and S rays traced through PREM; shadow zones at 98-145 deg and beyond 103 deg.
fig:prem-density,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/prem_density.avif,self_made_data,scripts/figures/L08_interiors/fig_prem_density.py,scripts/figures/L08_interiors/_prem.py,Dziewonski1981,PREM density vs radius from the Table 1 polynomials; ICB, CMB, 410 and 660 km steps marked.
fig:earth-tz-layers,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/earth_tz_layers.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_earth_tz_layers.py,,USStandardAtmosphere1976,USSA76 piecewise + Bates-Walker thermosphere extension.
fig:venus-tz-vira,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/venus_tz_vira.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_venus_tz_vira.py,,Seiff1985;Tellmann2009,VIRA/VeRa-anchored T(z) to mesopause.
fig:exobase,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/exobase_definition.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_exobase.py,,,MSIS-86-style n(z) anchors; sigma=1e-18 m^2.
fig:venus-tz,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/venus_tz_profile.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_venus_tz.py,,Tellmann2009,VIRA/VeRa T(z) with cloud deck and cold collar.
fig:hadley-observed,L06_atmospheres_2,slides/lecture06/lecture06.tex,slides/lecture06/figures/hadley_observed.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_hadley_observed.py,,Held1980,Synthetic streamfunction with three cell pairs.
fig:seismic-shadow-zones,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/seismic_shadow_zones.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_seismic_shadow_zones.py,,Oldham1906,S absorption + P shadow zone 103-143 deg; PKP and PKIKP rays.
fig:core-convection-drivers,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/core_convection_drivers.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_core_convection_drivers.py,,Roberts2013,Thermal vs compositional buoyancy in the outer core.
fig:dynamo-scaling,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/christensen2006_dynamo_scaling.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_dynamo_scaling.py,,ChristensenAubert2006;OlsonChristensen2006,Illustrative scaling-law collapse; planet markers on the predicted-observed relation.
fig:mercury-interior,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/mercury_interior.avif,self_made_schematic,scripts/figures/L08_interiors/fig_mercury_interior.py,,Margot2007;MargotHauck2018,Concentric-circle schematic; core at 83% R and 74% mass per the notes.
fig:central-pressure,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/central_pressure.avif,self_made_data,scripts/figures/L08_interiors/fig_central_pressure.py,,Weber2011;MargotHauck2018;Stahler2021;Aitta2012;Dziewonski1981;Wahl2017,Log-log scatter of model central pressure vs the uniform-density estimate; 1:1 line; six bodies Moon to Jupiter.
fig:earth-eons,L09_earth_venus,book/09_earth_venus/earth_venus.md,book/09_earth_venus/figures/earth_eons_timeline.avif,self_made_schematic,scripts/figures/L09_earth_venus/fig_earth_eons.py,,Gradstein2020,Eon and era bars with Phanerozoic zoom; GTS2020 boundary ages.
fig:early-mars-climate-schematic,L10_mercury_mars,book/10_mercury_mars/mercury_mars.md,book/10_mercury_mars/figures/early_mars_climate_schematic.avif,self_made_schematic,scripts/figures/L10_mercury_mars/fig_early_mars_climate_schematic.py,,Wordsworth2016;Wordsworth2017;Wordsworth2021;Kite2019;KiteEpisodic2021;KiteConway2024;Kite2025,Two-panel lowlands-to-highlands cross-section: cold icy-highlands baseline vs transient H2-CO2 warm excursion; H2 sources; H2 escape; carbonate sink.
fig:ideal-gas-density,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/ideal_gas_density.avif,self_made_plot,scripts/figures/L05_atmospheres_1/fig_ideal_gas_density.py,,,rho(P) for three mu at 288 and 737 K; markers Earth/Venus surfaces and Jupiter 1 bar.
fig:barometric-profile,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/barometric_profile.avif,self_made_plot,scripts/figures/L05_atmospheres_1/fig_barometric_profile.py,,,exp(-z/H) on linear and log axes with H, 2H, 3H, 4.6H levels.
fig:scale-height-bar,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/scale_height_bar.avif,self_made_plot,scripts/figures/L05_atmospheres_1/fig_scale_height_bar.py,,,H = kT/(mu m_u g) from the chapter table for Venus, Earth, Mars, Jupiter, Titan.
fig:radiative-convective,L05_atmospheres_1,book/05_atmospheres_1/atmospheres_1.md,book/05_atmospheres_1/figures/radiative_convective_profile.avif,self_made_schematic,scripts/figures/L05_atmospheres_1/fig_radiative_convective_profile.py,,,Schematic T(z): superadiabatic radiative profile, convective adjustment, tropopause.
fig:impact-stages,L07_surfaces,book/07_surfaces/surfaces.md,book/07_surfaces/figures/impact_stages.avif,self_made_schematic,scripts/figures/L07_surfaces/fig_impact_stages.py,,,Three-panel crater formation schematic: contact/compression, excavation, modification.
fig:effusive-explosive,L07_surfaces,book/07_surfaces/surfaces.md,book/07_surfaces/figures/effusive_explosive.avif,self_made_schematic,scripts/figures/L07_surfaces/fig_effusive_explosive.py,,,Shield volcano and fissure sheets vs stratovolcano with plug and eruption column.
fig:space-weathering,L07_surfaces,book/07_surfaces/surfaces.md,book/07_surfaces/figures/space_weathering.avif,self_made_schematic,scripts/figures/L07_surfaces/fig_space_weathering.py,,,Regolith grain rim with np-Fe and agents; qualitative fresh vs mature spectra.
fig:venus-activity-evidence,L09_earth_venus,book/09_earth_venus/earth_venus.md,book/09_earth_venus/figures/venus_activity_evidence.avif,self_made_schematic,scripts/figures/L09_earth_venus/fig_venus_activity_evidence.py,,HerrickHensley2023,Schematic timeline 1975-2025: mission coverage, SO2 swings, Idunn Mons 2010, Maat Mons 1990-1992 vent change.
fig:msr-architecture,L10_mercury_mars,book/10_mercury_mars/mercury_mars.md,book/10_mercury_mars/figures/msr_architecture.avif,self_made_schematic,scripts/figures/L10_mercury_mars/fig_msr_architecture.py,,,Block flow diagram of the MSR campaign concept; no dates.
fig:size-distance-regimes,L10_mercury_mars,book/10_mercury_mars/mercury_mars.md,book/10_mercury_mars/figures/size_distance_regimes.avif,self_made_schematic,scripts/figures/L10_mercury_mars/fig_size_distance_regimes.py,,,Radius vs heliocentric distance for Mercury, Venus, Earth, Moon, Mars with a qualitative regime boundary.
fig:fermi-filters,L14_synthesis,book/14_synthesis/synthesis.md,book/14_synthesis/figures/fermi_filters.avif,self_made_schematic,scripts/figures/L14_synthesis/fig_fermi_filters.py,,,Drake factor chain with resolutions; crossing time vs galaxy age bars.
fig:life-definition,L14_synthesis,book/14_synthesis/synthesis.md,book/14_synthesis/figures/life_definition.avif,self_made_schematic,scripts/figures/L14_synthesis/fig_life_definition.py,,,Three-circle working definition of life with solvent and chemistry boxes.
fig:extremophile-envelope,L14_synthesis,book/14_synthesis/synthesis.md,book/14_synthesis/figures/extremophile_envelope.avif,self_made_schematic,scripts/figures/L14_synthesis/fig_extremophile_envelope.py,,,Earth life temperature range -20 to over 120 C; icy-moon ocean worlds row.
fig:five-lessons,L14_synthesis,book/14_synthesis/synthesis.md,book/14_synthesis/figures/five_lessons.avif,self_made_schematic,scripts/figures/L14_synthesis/fig_five_lessons.py,,,Five icon panels, one per lesson of the synthesis chapter.
fig:five-questions,L14_synthesis,book/14_synthesis/synthesis.md,book/14_synthesis/figures/five_questions.avif,self_made_schematic,scripts/figures/L14_synthesis/fig_five_questions.py,,,Five open questions paired with what is at stake or the deciding test.
fig:accretional-heating,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/accretional_heating.avif,self_made_plot,scripts/figures/L03_heat_energy/fig_accretional_heating.py,,,E_acc and Delta T against radius for a uniform sphere at Earth's mean density; Earth marked.
fig:differentiation-energy,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/differentiation_energy.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_differentiation_energy.py,,,Before and after core formation cross-sections with the 2e31 J Earth value.
fig:heat-transport-modes,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/heat_transport_modes.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_heat_transport_modes.py,,,Conduction, convection and radiation icons.
fig:fourier-conductivity,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/fourier_conductivity.avif,self_made_plot,scripts/figures/L03_heat_energy/fig_fourier_conductivity.py,,,Fourier slab schematic and conductivity bars for the lecture's material table.
fig:tectonic-heat-loss,L03_heat_energy,book/03_heat_energy/heat_energy.md,book/03_heat_energy/figures/tectonic_heat_loss.avif,self_made_schematic,scripts/figures/L03_heat_energy/fig_tectonic_heat_loss.py,,,Mobile lid, stagnant lid and heat pipe cross-sections with heat paths.
fig:magnetic-shielding,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/magnetic_shielding.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_magnetic_shielding.py,,,Shielded and unshielded planet in the solar wind; sputtering and ion pickup.
fig:induction-rm,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/induction_rm.avif,self_made_plot,scripts/figures/L04_differentiation_magnetospheres/fig_induction_rm.py,,,Induction equation terms and Rm = UL/eta for Earth's outer core against flow speed.
fig:mantle-reservoirs,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/mantle_reservoirs.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_mantle_reservoirs.py,,,Box diagram of DMM, enriched mantle and crust.
fig:dynamo-status,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/dynamo_status.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_dynamo_status.py,,,Table figure of the dynamo state of Mercury, Venus, Earth, Moon, Mars, Ganymede.
fig:lunar-paleofield,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/lunar_paleofield.avif,self_made_plot,scripts/figures/L04_differentiation_magnetospheres/fig_lunar_paleofield.py,,Weiss2014,Lunar paleofield against age: 77 uT mean 3.85 to 3.56 Ga, below 7 uT by 3.3 Ga.
fig:inner-core-age,L04_differentiation_magnetospheres,book/04_differentiation_magnetospheres/differentiation_magnetospheres.md,book/04_differentiation_magnetospheres/figures/inner_core_age.avif,self_made_schematic,scripts/figures/L04_differentiation_magnetospheres/fig_inner_core_age.py,,Labrosse2015;Nimmo2015,Timeline of the inner-core nucleation estimates.
fig:cloud-species-map,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/cloud_species_map.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_cloud_species_map.py,,,Course-original sketch for the subsection that had no figure.
fig:rossby-regimes,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/rossby_regimes.avif,self_made_plot,scripts/figures/L06_atmospheres_2/fig_rossby_regimes.py,,,Course-original sketch for the subsection that had no figure.
fig:faint-young-sun,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/faint_young_sun.avif,self_made_plot,scripts/figures/L06_atmospheres_2/fig_faint_young_sun.py,,,Course-original sketch for the subsection that had no figure.
fig:urey-reaction-pathway,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/urey_reaction_pathway.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_urey_reaction_pathway.py,,,Course-original sketch for the subsection that had no figure.
fig:thermostat-failure,L06_atmospheres_2,book/06_atmospheres_2/atmospheres_2.md,book/06_atmospheres_2/figures/thermostat_failure.avif,self_made_schematic,scripts/figures/L06_atmospheres_2/fig_thermostat_failure.py,,,Course-original sketch for the subsection that had no figure.
fig:dynamo-lifetimes,L10_mercury_mars,book/10_mercury_mars/mercury_mars.md,book/10_mercury_mars/figures/dynamo_lifetimes.avif,self_made_schematic,scripts/figures/L10_mercury_mars/fig_dynamo_lifetimes.py,,,Course-original sketch for the subsection that had no figure.
fig:chondrule-cai-timeline,L12_small_bodies,book/12_small_bodies/small_bodies.md,book/12_small_bodies/figures/chondrule_cai_timeline.avif,self_made_plot,scripts/figures/L12_small_bodies/fig_chondrule_cai_timeline.py,,,Course-original sketch for the subsection that had no figure.
fig:petrologic-types,L12_small_bodies,book/12_small_bodies/small_bodies.md,book/12_small_bodies/figures/petrologic_types.avif,self_made_schematic,scripts/figures/L12_small_bodies/fig_petrologic_types.py,,,Course-original sketch for the subsection that had no figure.
fig:oxygen-three-isotope,L12_small_bodies,book/12_small_bodies/small_bodies.md,book/12_small_bodies/figures/oxygen_three_isotope.avif,self_made_schematic,scripts/figures/L12_small_bodies/fig_oxygen_three_isotope.py,,,Course-original sketch for the subsection that had no figure.
fig:radial-velocity-signal,L13_exoplanets,book/13_exoplanets/exoplanets.md,book/13_exoplanets/figures/radial_velocity_signal.avif,self_made_plot,scripts/figures/L13_exoplanets/fig_radial_velocity_signal.py,,,Course-original sketch for the subsection that had no figure.
fig:astrometric-signal,L13_exoplanets,book/13_exoplanets/exoplanets.md,book/13_exoplanets/figures/astrometric_signal.avif,self_made_plot,scripts/figures/L13_exoplanets/fig_astrometric_signal.py,,,Course-original sketch for the subsection that had no figure.
fig:microlensing-lightcurve,L13_exoplanets,book/13_exoplanets/exoplanets.md,book/13_exoplanets/figures/microlensing_lightcurve.avif,self_made_plot,scripts/figures/L13_exoplanets/fig_microlensing_lightcurve.py,,,Course-original sketch for the subsection that had no figure.
fig:transit-timing-variations,L13_exoplanets,book/13_exoplanets/exoplanets.md,book/13_exoplanets/figures/transit_timing_variations.avif,self_made_plot,scripts/figures/L13_exoplanets/fig_transit_timing_variations.py,,,Course-original sketch for the subsection that had no figure.
fig:moment-of-inertia-factors,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/moment_of_inertia_factors.avif,self_made_data,scripts/figures/L08_interiors/fig_moment_of_inertia_factors.py,,,Course-original sketch for a concept frame of the deck.
fig:creep-viscosity-ranges,L08_interiors,book/08_interiors/interiors.md,book/08_interiors/figures/creep_viscosity_ranges.avif,self_made_schematic,scripts/figures/L08_interiors/fig_creep_viscosity_ranges.py,,,Course-original sketch for a concept frame of the deck.
