#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-15T12:46:09 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-15T12:46:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/154/109/table2&-out.max=100000&-out=KOI,Per,Rad,DProb,TProb,Weight,M15	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51540109
#Name: J/AJ/154/109
#Title: California-Kepler Survey (CKS). III. Planet radii (Fulton+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	creator=Fulton B.J.	    First author or institution
#INFO	cites=bibcode:2017AJ....154..109F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/154/109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51540109	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_154_109_table2:
#Name: J/AJ/154/109/table2
#Title: *Planet detection statistics
#Column	KOI	(F8.2)	Kepler Object Identifier (KOI) of the candidate planet	[ucd=meta.id;meta.main]
#Column	Per	(F11.8)	Kepler candidate orbital period	[ucd=time.period]
#Column	Rad	(F5.2)	Candidate planet radius (R_p_)	[ucd=phys.size.radius]
#Column	DProb	(F6.3)	Detection probability (P_det_)	[ucd=stat.fit.goodness]
#Column	TProb	(F7.4)	Transit probability	[ucd=stat.fit.goodness]
#Column	Weight	(F9.2)	Mean total search completeness (1/w_i_)	[ucd=stat.weight]
#Column	M15	(I3)	Indicates a planet in the NASA's Exoplanet Archive Q1-Q16 KOI catalog (Mullally et al. 2015, Cat. J/ApJS/217/31)	[ucd=meta.number]
KOI	Per	Rad	DProb	TProb	Weight	M15
00094.03	54.31998605	 6.12	 0.999	 0.0150	    66.74	  1
00094.01	22.34296958	10.30	 1.000	 0.0271	    36.89	  1
00097.01	 4.88548895	16.88	 1.000	 0.0999	    10.01	  0
00102.01	 1.73513603	 3.58	 1.000	 0.1324	     7.56	  0
00103.01	14.91094205	 2.72	 0.989	 0.0257	    39.35	  0
00104.01	 2.50805735	 3.20	 0.999	 0.0762	    13.14	  0
00105.01	 8.98101683	 3.07	 0.996	 0.0375	    26.78	  0
00107.01	 7.25696522	 3.46	 0.998	 0.0668	    15.00	  0
00108.01	15.96533687	 3.43	 0.996	 0.0395	    25.42	  1
00110.01	 9.94067247	 2.68	 0.993	 0.0407	    24.75	  0
00111.02	23.66836427	 2.17	 0.953	 0.0207	    50.59	  1
00111.03	51.75529576	 2.42	 0.942	 0.0123	    86.17	  1
00111.01	11.42754563	 2.19	 0.976	 0.0337	    30.40	  1
00112.01	51.07926307	 2.96	 0.975	 0.0133	    77.19	  1
00112.02	 3.70921385	 1.26	 0.924	 0.0763	    14.18	  1
00115.01	 5.41220713	 2.61	 0.995	 0.0569	    17.65	  0
00115.02	 7.12594591	 1.50	 0.931	 0.0474	    22.67	  0
00115.03	 3.43587890	 0.52	 0.133	 0.0771	    97.77	  0
00116.02	43.84444353	 2.69	 0.966	 0.0144	    71.84	  0
00116.03	 6.16491696	 0.88	 0.645	 0.0533	    29.10	  0
00116.04	23.98023480	 1.03	 0.518	 0.0215	    89.65	  0
00116.01	13.57076622	 2.45	 0.984	 0.0315	    32.30	  0
00117.01	14.74913518	 3.49	 0.997	 0.0413	    24.30	  0
00117.03	 3.18002464	 1.77	 0.980	 0.1148	     8.89	  0
00117.04	 7.95830216	 1.22	 0.859	 0.0623	    18.69	  0
00118.01	24.99324193	 2.24	 0.956	 0.0259	    40.45	  0
00122.01	11.52306995	 3.31	 0.997	 0.0474	    21.16	  0
00123.02	21.22258525	 2.60	 0.981	 0.0291	    35.10	  0
00123.01	 6.48162809	 2.39	 0.991	 0.0641	    15.75	  0
00124.01	12.69105209	 1.89	 0.951	 0.0357	    29.42	  0
00124.02	31.71982498	 2.27	 0.949	 0.0194	    54.29	  0
00127.01	 3.57878055	12.10	 1.000	 0.0793	    12.61	  0
00128.01	 4.94278340	14.65	 1.000	 0.0750	    13.33	  0
00135.01	 3.02409255	13.03	 1.000	 0.1076	     9.29	  0
00137.01	 7.64157153	 4.76	 1.000	 0.0439	    22.77	  0
00137.02	14.85891269	 5.70	 1.000	 0.0282	    35.47	  0
00148.01	 4.77800403	 2.01	 0.984	 0.0551	    18.43	  0
00148.02	 9.67395347	 2.77	 0.994	 0.0344	    29.21	  0
00148.03	42.89605505	 2.14	 0.924	 0.0128	    84.77	  0
00149.01	14.55731705	 5.45	 1.000	 0.0476	    21.02	  0
00150.01	 8.40887695	 2.31	 0.987	 0.0354	    28.63	  0
00150.02	28.57426490	 2.38	 0.961	 0.0157	    66.42	  0
00152.03	13.48458665	 3.42	 0.997	 0.0355	    28.28	  1
00152.04	81.06349420	 2.79	 0.951	 0.0107	    98.05	  1
00152.01	52.09081602	 7.16	 1.000	 0.0144	    69.44	  1
00152.02	27.40232089	 3.72	 0.996	 0.0221	    45.43	  1
00153.02	 4.75400115	 2.03	 0.985	 0.0484	    20.97	  0
00155.01	 5.66067294	 3.64	 0.999	 0.0685	    14.62	  0
00157.02	22.68714105	 3.70	 0.996	 0.0247	    40.68	  1
00157.03	31.99550624	 4.43	 0.998	 0.0196	    51.09	  1
00157.04	46.68580240	 3.11	 0.982	 0.0152	    66.80	  1
00157.06	10.30400497	 2.11	 0.973	 0.0417	    24.60	  1
00157.01	13.02492819	 3.35	 0.997	 0.0357	    28.10	  1
00159.01	 8.99088871	 2.42	 0.989	 0.0424	    23.87	  0
00159.02	 2.40364330	 1.04	 0.893	 0.1021	    10.97	  0
00161.01	 3.10550819	 2.66	 0.997	 0.0691	    14.51	  0
00162.01	14.00640607	 3.57	 0.997	 0.0355	    28.26	  0
00163.01	11.11990653	 1.83	 0.951	 0.0262	    40.18	  0
00166.01	12.49341307	 2.03	 0.963	 0.0257	    40.42	  0
00167.01	 4.91958380	 3.15	 0.998	 0.0808	    12.40	  0
00168.02	15.27438229	 2.20	 0.969	 0.0396	    26.05	  0
00168.01	10.74242766	 3.04	 0.996	 0.0501	    20.05	  0
00171.01	 5.96871747	 3.10	 0.998	 0.0624	    16.06	  0
00171.02	13.07148900	 2.06	 0.964	 0.0370	    28.02	  0
00172.01	13.72237104	 2.53	 0.986	 0.0318	    31.91	  1
00173.01	10.06082567	 2.93	 0.995	 0.0461	    21.80	  0
00174.01	56.35418576	 2.22	 0.918	 0.0087	   125.17	  1
00176.01	30.22910400	 2.53	 0.969	 0.0194	    53.13	  0
00177.01	21.06075647	 1.91	 0.934	 0.0231	    46.30	  0
00179.01	20.74028413	 5.89	 1.000	 0.0356	    28.08	  0
00180.01	10.04556931	 2.39	 0.987	 0.0335	    30.23	  0
00197.01	17.27629612	 7.85	 1.000	 0.0208	    48.05	  0
00201.01	 4.22538451	10.93	 1.000	 0.0797	    12.54	  0
00203.01	 1.48571095	15.05	 1.000	 0.1290	     7.75	  0
00237.01	 8.50832440	 3.33	 0.998	 0.0511	    19.62	  0
00238.01	17.23231686	 2.87	 0.991	 0.0301	    33.52	  1
00238.02	26.69516590	 1.49	 0.834	 0.0225	    53.34	  1
00241.02	30.95076080	 1.28	 0.705	 0.0129	   109.74	  0
00241.03	 3.41045424	 0.82	 0.693	 0.0562	    25.65	  0
00244.01	12.72037435	 4.37	 0.999	 0.0368	    27.22	  0
00244.02	 6.23853477	 2.55	 0.994	 0.0591	    17.01	  0
00245.01	39.79223792	 1.92	 0.900	 0.0121	    91.83	  0
00245.02	21.30199109	 0.72	 0.133	 0.0184	   409.64	  0
00245.03	13.36693090	 0.28	 0.000	 0.0250	191643.07	  0
00246.01	 5.39875393	 2.45	 0.994	 0.0707	    14.23	  0
00246.02	 9.60503867	 0.98	 0.671	 0.0482	    30.92	  0
00257.01	 6.88340550	 2.90	 0.996	 0.0562	    17.86	  0
00260.01	10.49567752	 1.39	 0.890	 0.0412	    27.25	  1
00261.01	16.23846777	 2.49	 0.982	 0.0256	    39.78	  0
00262.01	 7.81285840	 1.42	 0.914	 0.0589	    18.58	  0
00262.02	 9.37664325	 1.67	 0.940	 0.0521	    20.39	  0
00265.01	 3.56809693	 1.35	 0.938	 0.0911	    11.70	  0
00266.02	47.74360330	 1.20	 0.539	 0.0143	   129.40	  1
00270.01	12.58227990	 1.30	 0.843	 0.0381	    31.14	  0
00270.02	33.67276962	 1.56	 0.829	 0.0198	    60.99	  0
00271.01	48.63038976	 2.63	 0.960	 0.0164	    63.47	  0
00271.03	14.43594397	 1.52	 0.895	 0.0369	    30.28	  0
00271.02	29.39326982	 2.51	 0.968	 0.0230	    44.98	  0
00273.01	10.57375703	 2.23	 0.980	 0.0441	    23.17	  0
00274.01	15.08960174	 1.36	 0.848	 0.0409	    28.83	  0
00274.02	22.80298080	 1.34	 0.790	 0.0310	    40.79	  0
00275.01	15.79193725	 2.39	 0.979	 0.0423	    24.14	  1
00275.02	82.20001050	 2.50	 0.926	 0.0141	    76.59	  1
00276.01	41.74600392	 2.44	 0.953	 0.0163	    64.51	  0
00277.02	13.84984283	 1.27	 0.820	 0.0398	    30.66	  0
00279.01	28.45492088	 5.48	 0.999	 0.0239	    41.87	  0
00279.02	15.41308581	 2.30	 0.975	 0.0360	    28.53	  0
00279.03	 7.51447040	 0.82	 0.502	 0.0581	    34.30	  0
00280.01	11.87290083	 1.91	 0.955	 0.0331	    31.61	  0
00281.01	19.55659418	 1.86	 0.932	 0.0253	    42.45	  0
00282.01	27.50867519	 2.73	 0.980	 0.0200	    51.12	  1
00282.02	 8.45746707	 0.99	 0.703	 0.0438	    32.49	  1
00282.03	87.51743610	 1.31	 0.496	 0.0092	   218.77	  1
00283.02	25.51706460	 0.85	 0.250	 0.0199	   200.62	  0
00283.01	16.09197176	 2.17	 0.965	 0.0271	    38.28	  0
00284.01	18.01017554	 1.37	 0.833	 0.0249	    48.15	  1
00284.03	 6.17828255	 1.01	 0.777	 0.0509	    25.29	  1
00285.01	13.74882630	 3.46	 0.997	 0.0448	    22.41	  0
00285.02	26.72320599	 2.29	 0.958	 0.0287	    36.34	  0
00285.03	49.35688490	 1.93	 0.886	 0.0191	    59.12	  0
00289.01	26.62946276	 2.71	 0.980	 0.0242	    42.21	  1
00291.01	31.51780202	 2.81	 0.980	 0.0232	    43.88	  0
00291.02	 8.13000457	 1.79	 0.957	 0.0574	    18.21	  0
00294.01	34.43587975	 2.40	 0.956	 0.0177	    59.02	  0
00295.01	 5.31743542	 1.65	 0.957	 0.0536	    19.49	  0
00295.02	10.10575303	 1.04	 0.718	 0.0349	    39.85	  0
00296.01	28.86235584	 2.23	 0.950	 0.0191	    55.17	  0
00297.01	 5.65179605	 1.51	 0.941	 0.0636	    16.71	  0
00301.01	 6.00253594	 2.10	 0.984	 0.0713	    14.24	  0
00301.02	11.44859460	 1.29	 0.851	 0.0464	    25.32	  0
00303.01	60.92832271	 2.63	 0.951	 0.0109	    96.14	  1
00304.01	 8.51203588	 2.24	 0.984	 0.0377	    26.98	  0
00306.01	24.30789460	 2.24	 0.957	 0.0176	    59.40	  0
00307.01	19.67416124	 1.60	 0.891	 0.0237	    47.34	  0
00307.02	 5.21104261	 1.07	 0.838	 0.0575	    20.76	  0
00308.01	35.59713982	 3.27	 0.990	 0.0177	    57.23	  0
00312.01	11.57891140	 2.20	 0.976	 0.0406	    25.23	  0
00312.02	16.39925610	 2.02	 0.953	 0.0322	    32.59	  0
00315.01	35.58355458	 2.33	 0.950	 0.0120	    87.94	  0
00316.01	15.77111583	 2.79	 0.990	 0.0319	    31.62	  1
00316.03	 7.30569992	 1.99	 0.975	 0.0533	    19.22	  1
00318.01	38.58422849	 5.51	 0.999	 0.0206	    48.55	  0
00321.01	 2.42630084	 1.61	 0.975	 0.1075	     9.55	  0
00321.02	 4.62333557	 0.92	 0.746	 0.0699	    19.16	  0
00323.01	 5.83598311	 2.04	 0.982	 0.0461	    22.10	  0
00327.01	 3.25427405	 1.49	 0.957	 0.0871	    11.99	  1
00327.02	91.35158670	 1.71	 0.755	 0.0094	   140.30	  1
00330.01	 7.97419807	 2.61	 0.993	 0.0619	    16.26	  0
00330.02	 1.88897906	 1.25	 0.947	 0.1617	     6.53	  0
00332.02	 6.86678510	 0.96	 0.716	 0.0648	    21.55	  0
00333.01	13.28535633	 2.35	 0.980	 0.0334	    30.56	  0
00337.01	19.78297415	 2.39	 0.973	 0.0278	    37.03	  1
00338.02	 3.10763873	 0.72	 0.540	 0.0691	    26.81	  0
00339.01	 1.98035766	 1.72	 0.985	 0.1071	     9.48	  0
00339.02	12.83450220	 1.79	 0.941	 0.0308	    34.51	  0
00341.01	 7.17073208	 2.95	 0.997	 0.0420	    23.87	  0
00343.03	41.80876680	 1.31	 0.667	 0.0157	    95.14	  0
00343.02	 2.02414559	 1.81	 0.989	 0.1186	     8.53	  0
00343.01	 4.76170526	 2.55	 0.995	 0.0670	    14.99	  0
00344.01	39.30941904	 2.99	 0.982	 0.0131	    77.52	  0
00345.01	29.88485741	 2.84	 0.982	 0.0143	    71.34	  0
00346.01	12.92491623	 2.61	 0.989	 0.0256	    39.46	  0
00349.01	14.38681090	 3.24	 0.996	 0.0364	    27.57	  0
00350.01	12.99063496	 2.03	 0.962	 0.0306	    34.01	  0
00351.06	 7.00828076	 1.41	 0.919	 0.0564	    19.31	  1
00351.03	59.73703480	 3.11	 0.977	 0.0135	    75.75	  1
00351.04	91.94046030	 2.85	 0.950	 0.0101	   103.87	  0
00351.05	 8.71982853	 1.57	 0.932	 0.0487	    22.01	  1
00352.02	16.00749754	 2.35	 0.976	 0.0348	    29.45	  0
00355.01	 4.90332155	 2.35	 0.993	 0.0691	    14.58	  0
00356.01	 1.82708230	 3.22	 0.999	 0.1059	     9.45	  0
00361.01	 3.24755522	 1.48	 0.956	 0.0783	    13.36	  0
00365.01	81.73780699	 2.26	 0.900	 0.0083	   134.09	  1
00367.01	31.57865934	 5.01	 0.999	 0.0181	    55.30	  0
00369.01	 5.88528169	 1.29	 0.903	 0.0585	    18.93	  0
00369.02	10.10463505	 1.28	 0.858	 0.0408	    28.58	  0
00370.02	22.95068896	 2.05	 0.944	 0.0330	    32.06	  0
00377.01	19.27082403	 8.49	 1.000	 0.0234	    42.77	  0
00377.02	38.90787517	 8.49	 1.000	 0.0146	    68.33	  0
00377.03	 1.59295975	 1.58	 0.982	 0.1232	     8.27	  0
00384.01	 5.08005848	 2.93	 0.997	 0.0936	    10.71	  0
00385.01	13.14497566	 1.70	 0.930	 0.0290	    37.00	  0
00386.01	31.15879749	 3.39	 0.992	 0.0181	    55.53	  1
00386.02	76.73251680	 3.06	 0.968	 0.0100	   103.85	  1
00388.01	 6.14955299	 3.32	 0.998	 0.0809	    12.38	  0
00392.02	12.61097080	 1.58	 0.915	 0.0458	    23.87	  0
00393.01	21.41616926	 2.15	 0.954	 0.0254	    41.21	  0
00401.01	29.19898380	 4.64	 0.998	 0.0181	    55.22	  1
00409.01	13.24934059	 2.87	 0.993	 0.0327	    30.84	  0
00440.01	15.90686437	 2.67	 0.988	 0.0229	    44.28	  0
00442.03	 7.02573474	 1.53	 0.936	 0.0494	    21.61	  0
00442.02	 1.73234549	 1.48	 0.972	 0.1257	     8.18	  0
00444.01	11.72292176	 2.21	 0.976	 0.0321	    31.93	  0
00457.02	 7.06425644	 2.23	 0.987	 0.0400	    25.34	  0
00457.01	 4.92135468	 2.36	 0.993	 0.0509	    19.78	  0
00479.01	34.18890521	 3.18	 0.988	 0.0155	    65.15	  0
00486.01	22.18329658	 2.68	 0.983	 0.0215	    47.23	  0
00490.03	 7.40610775	 1.64	 0.946	 0.0359	    29.42	  0
00490.01	 4.39315652	 1.60	 0.958	 0.0509	    20.50	  0
00505.02	 6.19543693	 1.26	 0.894	 0.0422	    26.53	  1
00505.03	 3.25058053	 1.11	 0.896	 0.0648	    17.21	  1
00505.05	87.09059940	 2.68	 0.939	 0.0072	   147.04	  1
00548.01	21.30022655	 3.19	 0.993	 0.0259	    38.88	  0
00550.01	13.02365861	 2.58	 0.988	 0.0303	    33.46	  0
00568.01	 3.38353807	 1.45	 0.951	 0.0685	    15.33	  0
00568.02	 2.35895152	 0.87	 0.803	 0.0872	    14.28	  0
00572.02	 4.93886507	 1.62	 0.957	 0.0788	    13.26	  0
00579.01	 2.02000102	 1.46	 0.967	 0.0888	    11.64	  0
00579.02	 3.76304236	 1.50	 0.954	 0.0587	    17.87	  0
00584.01	 9.92672514	 2.95	 0.995	 0.0394	    25.52	  0
00584.03	 6.47027579	 1.18	 0.865	 0.0524	    22.07	  0
00612.01	20.73991798	 2.00	 0.943	 0.0191	    55.54	  1
00612.02	47.42766000	 2.32	 0.938	 0.0110	    96.96	  1
00623.01	10.34971385	 1.20	 0.823	 0.0390	    31.18	  0
00623.02	15.67756112	 1.10	 0.686	 0.0296	    49.35	  0
00623.03	 5.59931973	 1.03	 0.801	 0.0587	    21.27	  0
00623.04	25.20998450	 0.85	 0.254	 0.0215	   182.93	  0
00624.01	17.79002419	 2.90	 0.991	 0.0231	    43.75	  0
00624.02	49.56753590	 2.69	 0.963	 0.0117	    89.18	  0
00624.03	 1.31184443	 1.53	 0.982	 0.1312	     7.76	  0
00626.01	14.58649607	 2.38	 0.980	 0.0326	    31.35	  0
00626.02	 8.02918943	 1.00	 0.721	 0.0485	    28.62	  0
00627.01	 7.75192492	 2.86	 0.996	 0.0570	    17.62	  0
00627.02	 4.16536510	 1.57	 0.957	 0.0863	    12.11	  0
00628.01	14.48585199	 1.93	 0.950	 0.0262	    40.15	  0
00632.01	 7.23858540	 1.43	 0.920	 0.0401	    27.12	  0
00635.01	16.71987223	 2.60	 0.985	 0.0277	    36.63	  0
00638.01	23.64219092	 3.32	 0.994	 0.0197	    51.03	  1
00638.02	67.09329970	 3.49	 0.985	 0.0098	   103.19	  1
00639.01	17.97979059	 2.71	 0.987	 0.0284	    35.64	  0
00640.01	30.99660733	 2.32	 0.955	 0.0156	    67.32	  0
00645.01	 8.50340718	 1.81	 0.958	 0.0517	    20.20	  0
00645.02	23.78324700	 2.05	 0.942	 0.0260	    40.78	  0
00647.01	 5.16950177	 1.64	 0.957	 0.0625	    16.71	  0
00647.02	 8.11347130	 0.75	 0.367	 0.0463	    58.85	  0
00649.01	23.44971004	 3.13	 0.992	 0.0323	    31.21	  1
00649.02	10.20937730	 1.09	 0.759	 0.0563	    23.43	  1
00650.01	11.95475266	 2.36	 0.983	 0.0273	    37.24	  0
00654.02	10.22214214	 1.54	 0.920	 0.0351	    30.95	  0
00657.02	16.28248353	 1.96	 0.948	 0.0201	    52.47	  0
00658.01	 3.16269124	 2.66	 0.997	 0.0824	    12.16	  0
00658.02	 5.37064587	 2.47	 0.994	 0.0579	    17.37	  0
00658.03	11.32975018	 1.47	 0.901	 0.0352	    31.52	  0
00659.01	23.20584623	 2.27	 0.961	 0.0234	    44.43	  0
00661.02	25.66165800	 1.40	 0.800	 0.0201	    62.30	  0
00662.01	10.21420496	 2.92	 0.995	 0.0551	    18.23	  0
00664.01	13.13745719	 1.70	 0.930	 0.0346	    31.04	  0
00664.02	 7.78200916	 1.20	 0.853	 0.0491	    23.87	  0
00664.03	23.44323530	 1.03	 0.517	 0.0235	    82.24	  0
00665.02	 1.61188718	 1.66	 0.986	 0.1876	     5.41	  0
00665.03	 3.07154540	 1.62	 0.970	 0.1220	     8.45	  0
00665.01	 5.86806802	 3.52	 0.999	 0.0793	    12.63	  0
00670.01	 9.48961571	 2.75	 0.994	 0.0595	    16.92	  0
00671.01	 4.22864988	 1.68	 0.967	 0.0814	    12.70	  0
00671.02	 7.46662197	 1.49	 0.928	 0.0558	    19.33	  0
00671.03	16.25945734	 1.52	 0.888	 0.0332	    33.95	  0
00671.04	11.13175190	 1.29	 0.854	 0.0427	    27.42	  0
00672.01	16.08786478	 2.40	 0.978	 0.0254	    40.16	  0
00672.02	41.74949827	 3.14	 0.985	 0.0135	    75.36	  0
00673.01	 4.41745855	 2.11	 0.989	 0.0703	    14.38	  0
00678.01	 6.04045294	 1.36	 0.916	 0.0439	    24.89	  0
00678.02	 4.13853677	 1.34	 0.931	 0.0564	    19.03	  0
00679.01	31.80474045	 2.71	 0.976	 0.0237	    43.32	  0
00679.02	16.25835860	 1.15	 0.723	 0.0370	    37.40	  0
00680.01	 8.60015330	12.19	 1.000	 0.0639	    15.66	  0
00686.01	52.51354659	13.85	 1.000	 0.0131	    76.56	  1
00687.01	 4.17838493	 1.98	 0.985	 0.0695	    14.60	  0
00688.01	 3.27582262	 2.17	 0.993	 0.0917	    10.98	  0
00689.01	15.87364565	 1.61	 0.908	 0.0216	    51.05	  0
00691.01	29.66629667	 3.22	 0.991	 0.0221	    45.59	  0
00691.02	16.22546490	 1.36	 0.841	 0.0331	    35.90	  0
00692.01	 2.46234217	 1.59	 0.973	 0.1081	     9.51	  0
00692.02	 4.82297735	 2.20	 0.990	 0.0690	    14.62	  0
00693.02	15.66057659	 2.96	 0.993	 0.0384	    26.25	  0
00695.01	29.90722674	 2.14	 0.941	 0.0162	    65.78	  0
00697.01	 3.03214559	 3.20	 0.999	 0.1109	     9.03	  0
00700.03	14.66719270	 1.24	 0.797	 0.0242	    51.82	  1
00700.04	68.16135980	 1.41	 0.640	 0.0087	   179.54	  1
00700.01	30.86437869	 1.98	 0.922	 0.0147	    73.50	  1
00701.01	18.16407876	 2.03	 0.951	 0.0184	    57.24	  1
00701.02	 5.71489072	 1.38	 0.923	 0.0397	    27.27	  1
00701.05	12.44168710	 0.61	 0.089	 0.0237	   473.53	  1
00704.01	18.39628156	 2.24	 0.966	 0.0206	    50.27	  0
00707.01	21.77568751	 4.57	 0.999	 0.0326	    30.67	  0
00707.02	41.02806370	 3.97	 0.995	 0.0214	    46.94	  0
00707.03	31.78476785	 3.50	 0.993	 0.0254	    39.67	  0
00707.04	13.17556672	 2.57	 0.988	 0.0456	    22.18	  0
00707.05	 5.66815436	 1.48	 0.938	 0.0801	    13.32	  0
00708.01	17.40665938	 3.35	 0.996	 0.0328	    30.60	  0
00708.02	 7.69364042	 2.55	 0.993	 0.0566	    17.81	  0
00709.01	21.38521506	 2.29	 0.965	 0.0193	    53.59	  0
00711.01	44.69950400	 3.36	 0.988	 0.0155	    65.26	  1
